Index,River,Erected,Purpose,Length,Lanes,Clear,T-OR-D,Material,Span,Rel-L,Label
E71,A,MATURE,WALK,?,?,G,THROUGH,STEEL,?,F,SUSPEN
E72,A,MATURE,HIGHWAY,LONG,4,G,THROUGH,STEEL,MEDIUM,S,ARCH
E73,M,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,CANTILEV
E74,M,MATURE,HIGHWAY,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E75,A,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E76,A,CRAFTS,HIGHWAY,SHORT,2,N,THROUGH,WOOD,MEDIUM,S,WOOD
E77,A,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E78,A,MATURE,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,S-F,SUSPEN
E79,M,MATURE,HIGHWAY,LONG,4,N,DECK,STEEL,MEDIUM,S-F,CANTILEV
E80,A,MATURE,HIGHWAY,MEDIUM,?,G,THROUGH,STEEL,MEDIUM,S,ARCH
E81,M,MATURE,HIGHWAY,LONG,2,G,DECK,STEEL,MEDIUM,S-F,CANTILEV
E82,A,MATURE,HIGHWAY,LONG,4,G,DECK,STEEL,MEDIUM,F,ARCH
E83,M,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,SUSPEN
E84,O,MATURE,HIGHWAY,MEDIUM,4,N,THROUGH,STEEL,LONG,F,ARCH
E85,O,MATURE,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,ARCH
E86,A,MATURE,HIGHWAY,MEDIUM,4,G,DECK,STEEL,MEDIUM,F,CANTILEV
E87,A,CRAFTS,AQUEDUCT,MEDIUM,1,N,THROUGH,IRON,SHORT,S,SUSPEN
E88,M,MODERN,HIGHWAY,MEDIUM,4,G,THROUGH,STEEL,LONG,F,CANTILEV
E89,M,MODERN,HIGHWAY,LONG,4,G,DECK,STEEL,LONG,F,CONT-T
E90,O,MODERN,HIGHWAY,SHORT,?,G,THROUGH,STEEL,?,F,SIMPLE-T
E91,M,MODERN,HIGHWAY,MEDIUM,6,G,THROUGH,STEEL,LONG,F,ARCH
E92,A,MODERN,HIGHWAY,SHORT,6,G,THROUGH,STEEL,MEDIUM,F,ARCH
E93,M,MODERN,HIGHWAY,LONG,4,G,DECK,STEEL,LONG,F,CONT-T
E94,A,MODERN,HIGHWAY,SHORT,4,G,DECK,STEEL,MEDIUM,S-F,CONT-T
E95,A,MATURE,RR,LONG,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E96,A,MODERN,HIGHWAY,LONG,4,N,DECK,STEEL,LONG,F,CONT-T
E97,M,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
E98,M,CRAFTS,HIGHWAY,MEDIUM,2,N,THROUGH,IRON,SHORT,S,SUSPEN
E99,M,MODERN,HIGHWAY,SHORT,6,G,THROUGH,STEEL,LONG,F,ARCH
E100,O,MODERN,HIGHWAY,LONG,6,G,THROUGH,STEEL,LONG,F,ARCH
E101,M,MATURE,RR,LONG,?,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E102,M,MATURE,HIGHWAY,MEDIUM,4,N,DECK,STEEL,LONG,S-F,CONT-T
E103,M,MATURE,RR,?,2,G,THROUGH,STEEL,LONG,F,SIMPLE-T
E104,M,MATURE,RR,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
E105,M,MODERN,RR,?,?,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
E106,M,MODERN,HIGHWAY,?,?,G,THROUGH,STEEL,MEDIUM,S,ARCH
E107,M,MODERN,HIGHWAY,SHORT,4,G,THROUGH,STEEL,MEDIUM,F,CONT-T
E108,M,MODERN,HIGHWAY,MEDIUM,2,G,THROUGH,STEEL,MEDIUM,S-F,SIMPLE-T
